article_id,country,newspaper,date,page,title,theme,sub_theme,population,author,source_url,archive,ocr_quality
AUS11,Australia,The Sydney Morning Herald,25/3/1939,unknown,New Policy For Aborigines — Conversion To Food Producers,Land; People,Northern Territory development; food production; assimilation; government policy,Aboriginal Australians,E. W. Chinnery,https://trove.nla.gov.au/newspaper/article/17570468?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS12,Australia,The Sydney Morning Herald,20/6/1939,unknown,Recognition Of Aborigines,People,Racial discrimination; Aboriginal welfare; government protection; recognition,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17600474?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS13,Australia,The Sydney Morning Herald,11/11/1939,unknown,Aborigines' Rations — Allegation Denied,People,Aboriginal welfare; rations; government response; Aboriginal reserves,Aboriginal Australians,W. Ferguson / Mr. Tonking,https://trove.nla.gov.au/newspaper/article/17642427?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS14,Australia,The Sydney Morning Herald,28/1/1939,unknown,"By The Camp Fires, With Dr. Donald F. Thomson — IV. Placating The Ghosts Of Arnhem Land",Culture; Land,Ceremonial practices; spiritual beliefs; food practices; material culture; clan territories,Aboriginal Australians,Donald F. Thomson,https://trove.nla.gov.au/newspaper/article/17553549?searchTerm=Aboriginal%20culture%20Aboriginal%20customs%2C%20Aboriginal%20culture%2C%20Aboriginal%20language%2C%20Aboriginal%20traditions%2C%20Aboriginal%20beliefs%2C%20Aboriginal%20religion%2C%20Aboriginal%20ceremonies%2C%20Aboriginal%20education%2C%20Aboriginal%20tribal%2C%20Aboriginal%20art,Trove,Good
AUS15,Australia,The Sydney Morning Herald,11/1/1939,unknown,Corroboree For Tourists — Luxury Liner's Cruise — Day's Visit To Darwin,Culture; People,Aboriginal ceremonial practices; cultural control; tourism; government intervention,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17545951?searchTerm=culture%2C%20art%2C%20tribe%2C%20ceremonies%2C%20belief,Trove,Good
AUS16,Australia,The Sydney Morning Herald,13/1/1939,unknown,Native Must Have Guidance — Anthropologist's Theories,Culture; People,Indigenous culture; assimilation; government intervention; anthropology; colonial paternalism,Aboriginal Australians / Indigenous peoples,F. E. Williams,https://trove.nla.gov.au/newspaper/article/17557878?searchTerm=culture%2C%20art%2C%20tribe%2C%20ceremonies%2C%20belief,Trove,Good
AUS17,Australia,The Sydney Morning Herald,14/1/1939,unknown,By The Camp Fires With Dr. Donald Thomson — II. Island Adventure,Culture; Land,Initiation ceremony; environmental knowledge; traditional technology; food practices; hunting; navigation,Aboriginal Australians,Donald F. Thomson,https://trove.nla.gov.au/newspaper/article/17547330?searchTerm=culture%2C%20art%2C%20tribe%2C%20ceremonies%2C%20belief,Trove,Good
MAL01,British Malaya,The Straits Times,2/2/1939,15,Alien Labour Supply — Protectors And Controllers,People,Labour; immigration; demographic change; colonial labour policy,"Malays, Chinese and Indians",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/straitstimes19390202-1.2.127,NewspaperSG / National Library Board of Singapore,Good
MAL02,British Malaya,The Straits Times,10/8/1939,unknown,The Week In Malaya,People; Land,Colonial policy; economic protection; agriculture; Malay rights; racial-economic differentiation,Malays and non-Malays,Sir Shenton Thomas,https://eresources.nlb.gov.sg/newspapers/digitised/article/straitsbudget19390810-1.2.2,NewspaperSG / National Library Board of Singapore,Good
MAL03,British Malaya,Morning Tribune,30/5/1939,unknown,Malaya's Gifts,People,Colonial loyalty; military service; poverty; imperial relations,"Malayans, including Malays",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19390530-1.2.40,NewspaperSG / National Library Board of Singapore,Good
MAL04,British Malaya,Malaya Tribune,10/1/1939,unknown,Indian Labour — What Readers Are Saying,People,Labour; migrant labour; racial hierarchy; colonial labour policy; working conditions,Indian labourers / Indian immigrants,unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19390110-1.2.39,NewspaperSG / National Library Board of Singapore,Fair
MAL05,British Malaya,Malaya Tribune,10/1/1939,5,The Anglo-Indian,People,Racial classification; citizenship; military eligibility; discrimination,Anglo-Indians,unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19390110-1.2.40,NewspaperSG / National Library Board of Singapore,Good
MAL06,British Malaya,Malaya Tribune,10/1/1939,5,Discrimination,People,Racial discrimination; employment; colonial attitudes; Indian identity,"Indians, Chinese and Malays",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19390110-1.2.41,NewspaperSG / National Library Board of Singapore,Good
MAL07,British Malaya,The Straits Times,24/8/1939,unknown,Chinese Rice In The Malay States — Food Production Problem As The Malays See It,People; Land,Agricultural policy; land and rice cultivation; migration; Malay peasants; colonial government policy,"Malays, Chinese and Javanese",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/straitstimes19390824-1.2.124.1,NewspaperSG / National Library Board of Singapore,Fair
MAL08,British Malaya,Malaya Tribune,25/11/1939,unknown,The Eurasian Problem,People,Racial identity; discrimination; community relations; colonial belonging,"Eurasians, Chinese, Indians and Malays",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19391125-1.2.86,NewspaperSG / National Library Board of Singapore,Fair
MAL09,British Malaya,Malaya Tribune,1/4/1939,3,Indian Labour Should Be Settled On The Estates,People; Land,Labour; migrant labour; settlement; agricultural estates; government land policy,"Indian, Chinese, Malay and Javanese workers and families",unknown,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19390401-1.2.16,NewspaperSG / National Library Board of Singapore,Fair
MAL10,British Malaya,Malaya Tribune,26/1/1939,10,The Younger Generation Needs Culture,Culture; People,Education; cultural development; Malay identity; colonial society,Malayan people / indigenous Malay people,C. W. Chellappah,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19390126-1.2.55,NewspaperSG / National Library Board of Singapore,Fair
